Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2025-07-10;472,04;472,05;469,09;470,34;715.782;24.719.748
2025-07-09;472,41;476,28;467,76;471,27;768.221;11.395.354
2025-07-08;468,38;471,79;467,675;469,95;623.656;305.456.553
2025-07-07;472,12;473,59;468,03;469,59;717.788;27.949.121
2025-07-03;476,62;477,00;474,09;475,58;424.172;13.629.568
2025-07-02;476,03;478,72;474,44;477,23;357.019;20.955.727
2025-07-01;469,79;477,82;469,30;476,73;426.250;13.831.669
2025-06-30;466,20;470,02;463,72;468,94;995.709;28.618.506
2025-06-27;464,46;467,35;461,95;463,79;1.207.183;28.340.253
2025-06-26;460,82;466,31;459,71;464,46;701.097;315.205.338
2025-06-25;461,73;463,765;459,73;460,20;606.901;21.480.412
2025-06-24;460,87;463,91;459,13;463,16;734.608;15.783.220
2025-06-23;457,31;460,05;453,19;459,75;701.174;15.673.581
2025-06-20;462,49;462,49;455,38;455,86;2.644.811;762.244.026
2025-06-18;460,90;462,37;458,28;458,70;464.130;11.367.325
2025-06-17;464,17;465,34;460,40;460,90;557.689;290.993.750
2025-06-16;466,81;469,40;464,88;466,60;587.578;14.926.289
2025-06-13;470,64;472,74;465,18;465,98;517.093;7.283.592
2025-06-12;468,42;472,10;467,035;470,53;478.125;19.565.952
2025-06-11;474,31;474,37;467,50;468,54;719.179;26.338.535
2025-06-10;472,00;475,95;471,76;475,56;694.095;8.833.222
2025-06-09;472,00;475,83;468,345;472,17;684.839;393.323.381
2025-06-06;473,40;475,23;471,27;472,71;570.631;317.736.005
2025-06-05;474,00;474,16;469,42;470,38;456.982;15.226.853
2025-06-04;471,61;475,45;469,00;473,77;1.003.354;35.392.655
2025-06-03;462,31;472,28;462,00;471,82;943.625;35.426.420
2025-06-02;465,10;466,18;461,56;464,57;775.065;192.193.985
2025-05-30;465,94;469,10;460,98;467,58;2.341.420;26.908.191
2025-05-29;463,95;464,93;461,14;464,08;518.667;8.562.672
2025-05-28;466,11;467,00;462,10;462,51;1.136.320;23.658.321
2025-05-27;463,26;468,05;462,58;467,95;781.602;17.306.531
2025-05-23;453,57;460,45;453,57;458,90;705.558;9.314.534
2025-05-22;456,08;459,11;453,71;459,00;782.469;16.238.182
2025-05-21;456,72;458,91;453,89;455,50;845.228;16.094.682
2025-05-20;461,36;461,36;457,86;459,85;537.555;26.137.911
2025-05-19;457,77;461,61;455,34;460,33;600.105;26.991.925
2025-05-16;455,76;458,32;451,955;457,77;829.494;81.936.049
2025-05-15;445,97;455,00;445,97;454,05;739.232;13.566.594
2025-05-14;447,23;448,18;439,88;445,97;762.064;25.362.435
2025-05-13;454,30;455,95;450,27;450,67;649.752;19.934.845
2025-05-12;456,47;458,00;452,50;454,42;901.736;21.223.228
2025-05-09;455,03;455,03;450,76;452,66;418.503;11.382.061
2025-05-08;449,53;457,90;449,53;453,23;828.204;6.894.547
2025-05-07;447,50;454,21;445,06;449,66;730.391;8.747.759
2025-05-06;452,855;453,46;446,34;447,05;596.793;318.314.671
2025-05-05;453,00;455,49;450,14;452,49;640.292;10.035.201
2025-05-02;453,70;456,76;452,33;454,95;659.816;19.567.249
2025-05-01;437,31;450,47;437,31;448,05;804.463;43.686.896
2025-04-30;449,18;454,88;444,97;453,23;1.240.105;20.323.393
2025-04-29;448,84;452,26;446,77;450,58;533.489;13.997.630
2025-04-28;448,65;450,87;444,17;448,00;560.891;16.877.993
2025-04-25;447,92;449,12;443,45;448,40;751.502;23.855.288
2025-04-24;447,08;451,04;442,83;449,53;823.391;327.648.668
2025-04-23;454,39;457,67;445,50;447,83;825.689;10.754.675
2025-04-22;448,29;455,26;447,80;454,61;558.266;16.218.282
2025-04-21;450,54;452,255;440,42;443,85;519.960;22.911.959
2025-04-17;450,92;455,15;449,75;452,12;719.387;275.318.022
2025-04-16;450,51;454,80;445,37;447,99;796.968;23.289.409
2025-04-15;449,22;454,40;447,94;450,97;755.301;251.026.103
2025-04-14;443,09;448,04;442,01;446,03;779.448;333.099.085
2025-04-11;437,16;448,84;432,71;441,83;1.276.503;516.581.560
2025-04-10;440,37;444,145;427,41;431,88;1.652.753;18.673.893
2025-04-09;414,16;447,35;413,24;445,97;1.875.315;19.398.014
2025-04-08;430,76;432,81;408,65;413,33;1.360.255;10.975.909
2025-04-07;429,09;441,25;417,96;426,09;1.782.909;14.806.256
2025-04-04;464,36;469,44;437,31;437,96;1.976.922;20.862.427
2025-04-03;466,56;472,00;465,83;467,22;967.097;19.445.312
2025-04-02;462,90;470,31;462,47;469,74;672.438;21.629.015
2025-04-01;462,00;467,495;461,21;467,09;582.488;295.820.498
2025-03-31;458,87;468,04;458,47;465,64;1.149.982;11.236.699
2025-03-28;466,53;466,57;458,84;459,11;607.139;4.374.495
2025-03-27;461,99;466,33;459,43;464,73;579.003;3.359.165
2025-03-26;457,45;462,84;457,03;461,43;659.792;10.997.177
2025-03-25;458,06;458,70;454,99;457,45;952.218;8.431.641
2025-03-24;457,12;461,785;455,515;459,09;1.133.125;15.334.333
2025-03-21;453,39;458,63;449,39;458,33;2.400.132;6.209.186
2025-03-20;456,105;459,98;455,39;457,75;1.261.461;4.922.309
2025-03-19;459,00;461,57;455,47;459,75;2.264.597;11.530.500
2025-03-18;464,11;464,11;458,00;460,71;734.858;8.872.467
2025-03-17;452,34;462,17;452,34;460,31;808.094;21.893.004
2025-03-14;455,24;458,00;453,15;455,50;806.784;8.706.401
2025-03-13;449,44;455,05;447,76;453,26;900.225;27.510.019
2025-03-12;453,31;454,73;448,82;451,17;996.238;11.695.255
2025-03-11;461,65;461,90;451,36;454,07;1.170.380;10.642.354
2025-03-10;465,99;471,18;458,17;462,06;512.107;13.415.949
2025-03-07;466,17;469,84;463,42;468,77;680.563;6.074.823
2025-03-06;466,69;470,09;463,38;466,15;1.329.048;11.362.256
2025-03-05;461,23;470,33;461,23;468,25;374.209;10.360.395
2025-03-04;469,28;469,28;460,13;461,35;1.527.985;11.004.863
2025-03-03;469,10;472,16;460,98;462,33;1.162.183;8.948.126
2025-02-28;465,07;468,00;460,63;467,05;1.259.550;11.079.153
2025-02-27;463,54;468,11;459,88;460,28;853.624;22.113.063
2025-02-26;466,36;467,31;461,27;461,55;693.034;10.411.809
2025-02-25;459,29;468,98;459,29;467,49;920.073;14.975.755
2025-02-24;459,01;464,14;456,44;458,64;710.054;14.578.432
2025-02-21;463,61;465,01;457,58;458,00;741.474;10.029.152
2025-02-20;459,70;462,13;458,56;461,90;654.832;7.894.342
2025-02-19;460,82;465,39;460,50;462,07;649.567;22.146.102
2025-02-18;454,87;465,99;450,72;465,83;964.589;22.482.289
2025-02-14;461,05;464,07;456,70;457,00;838.637;33.476.783
2025-02-13;457,56;462,60;457,56;461,05;888.144;45.840.056
2025-02-12;457,32;460,00;454,675;458,56;607.736;23.632.390
2025-02-11;460,25;462,42;459,32;460,74;549.752;12.038.480
2025-02-10;454,82;461,12;453,43;460,86;633.022;28.023.763
2025-02-07;456,54;458,16;452,665;455,05;596.563;23.536.580
2025-02-06;450,23;461,49;450,23;460,68;963.536;34.427.678
2025-02-05;453,40;454,85;451,05;453,70;1.111.428;32.223.153
2025-02-04;455,94;458,83;453,46;454,80;1.083.133;20.391.283
2025-02-03;445,48;454,78;440,61;454,21;1.106.980;17.308.598
2025-01-31;444,42;448,10;439,99;446,12;1.072.282;274.623.097
2025-01-30;439,00;449,50;439,00;446,38;976.398;23.326.133
2025-01-29;435,22;438,83;434,50;438,32;821.079;13.966.832
2025-01-28;440,00;440,07;435,28;435,51;805.080;32.728.285
2025-01-27;438,34;441,40;434,99;439,49;1.204.463;16.143.015
2025-01-24;442,87;443,36;439,04;439,25;585.622;24.735.562
2025-01-23;442,72;442,995;440,46;440,83;673.782;25.245.052
2025-01-22;446,26;448,69;442,47;442,60;837.158;37.024.391
2025-01-21;439,67;443,94;439,45;442,46;727.017;39.022.353
2025-01-17;440,00;440,00;433,84;436,00;1.334.368;9.845.846
2025-01-16;427,915;432,61;427,65;432,49;593.434;6.453.545
2025-01-15;433,22;433,63;426,63;427,98;954.500;14.148.608
2025-01-14;422,28;427,72;420,72;427,29;781.127;318.763.328
2025-01-13;415,79;422,565;414,07;421,43;1.213.994;24.978.286
2025-01-10;414,85;417,42;411,88;414,15;955.999;18.442.727
2025-01-08;416,83;420,40;414,59;420,01;787.614;18.646.478
2025-01-07;412,03;419,00;411,73;414,95;1.189.637;532.330.203
2025-01-06;415,43;418,36;412,13;412,91;993.280;215.192.791
2025-01-03;416,15;416,95;413,13;413,50;824.893;19.449.727
2025-01-02;421,26;422,27;413,89;414,17;866.229;204.693.662
2024-12-31;418,61;420,105;416,115;418,67;503.448;14.712.613
2024-12-30;419,18;420,26;415,41;417,66;765.348;199.418.217
2024-12-27;423,21;425,94;421,54;422,98;738.391;218.672.483
2024-12-26;423,00;426,54;423,00;424,32;410.078;21.503.166
2024-12-24;422,18;426,04;420,96;425,77;314.649;15.374.453
2024-12-23;422,43;425,41;417,74;422,33;689.629;135.243.148
2024-12-20;419,23;425,34;418,61;424,31;3.576.308;2.031.227.234
2024-12-19;422,10;425,36;419,20;419,59;1.322.144;11.214.816
2024-12-18;428,92;431,075;422,07;422,27;1.678.091;26.097.143
2024-12-17;428,24;433,02;425,94;430,20;1.454.234;27.609.858
2024-12-16;435,72;435,72;427,41;428,30;2.106.651;32.949.498
2024-12-13;436,27;437,62;433,67;435,30;924.873;44.175.653
2024-12-12;439,94;442,35;438,00;438,50;836.626;23.949.993
2024-12-11;443,29;445,33;440,16;440,53;638.080;30.110.430
2024-12-10;444,81;446,18;437,31;444,81;776.363;33.124.929
2024-12-09;447,90;450,58;441,93;442,58;864.659;16.166.066
2024-12-06;448,05;450,86;447,60;449,44;735.953;25.811.297
2024-12-05;457,26;457,26;448,03;448,58;939.038;30.300.569
2024-12-04;456,28;461,27;455,70;459,45;868.512;535.972.564
2024-12-03;461,90;461,90;456,70;458,12;656.557;197.499.207
2024-12-02;460,99;461,04;456,63;459,69;745.310;20.750.252
2024-11-29;456,99;461,64;456,14;460,99;509.203;22.069.879
2024-11-27;457,20;459,56;456,86;457,12;912.386;26.728.945
2024-11-26;453,47;456,65;451,54;456,60;578.089;12.122.642
2024-11-25;454,58;456,82;453,07;455,69;1.781.369;21.685.814
2024-11-22;453,84;457,20;453,55;454,78;716.134;23.629.576
2024-11-21;443,74;455,08;453,14;455,04;691.772;16.443.463
2024-11-20;443,74;450,85;441,65;450,14;641.518;18.682.810
2024-11-19;444,13;444,66;439,76;444,06;878.753;31.047.152
2024-11-18;446,53;449,18;445,45;448,57;763.429;22.520.627
2024-11-15;451,07;451,33;446,96;449,10;1.130.899;21.524.159
2024-11-14;455,65;457,85;453,235;453,49;777.737;30.870.949
2024-11-13;453,84;457,54;451,00;456,27;372.968;10.997.448
2024-11-12;458,27;460,06;453,65;455,59;865.541;26.442.020
2024-11-11;459,48;462,27;455,36;456,44;752.209;81.415.009
2024-11-08;465,33;465,47;459,21;459,48;662.425;366.518.969
2024-11-07;465,00;467,98;463,59;465,47;737.949;80.660.831
2024-11-06;463,82;465,68;458,47;462,63;973.130;17.272.047
2024-11-05;458,32;460,86;454,17;454,89;758.889;32.696.863
2024-11-04;457,98;461,69;456,31;458,32;755.834;40.144.379
2024-11-01;456,51;459,20;453,98;457,31;918.354;12.881.777
2024-10-31;455,00;463,00;454,70;456,15;734.236;58.889.854
2024-10-30;473,27;475,00;472,47;473,40;596.219;25.158.323
2024-10-29;474,65;476,14;472,89;474,66;708.936;21.504.028
2024-10-28;475,81;477,62;474,00;476,00;458.763;3.904.059
2024-10-25;475,12;478,63;473,00;473,76;418.344;24.112.970
2024-10-24;478,35;478,43;471,78;474,46;359.326;24.381.854
2024-10-23;479,17;482,08;476,86;477,43;505.324;141.060.899
2024-10-22;481,78;482,23;478,00;481,95;632.201;238.623.375
2024-10-21;484,95;485,14;481,19;483,36;391.418;20.331.421
2024-10-18;483,14;487,065;482,50;486,45;666.924;5.629.627
2024-10-17;486,92;487,31;484,38;486,06;456.708;260.969.308
2024-10-16;478,52;485,32;478,52;483,98;508.103;41.262.126
2024-10-15;477,58;480,69;479,65;480,57;615.494;35.939.792
2024-10-14;474,38;478,15;473,95;477,69;155.997;24.313.272
2024-10-11;472,10;474,52;471,17;474,04;455.571;25.174.867
2024-10-10;471,91;472,44;467,735;469,33;173.722;27.206.983
2024-10-09;467,50;470,47;467,355;469,60;243.523;36.534.217
2024-10-08;465,51;469,97;465,29;469,38;175.121;23.896.165
2024-10-07;464,45;466,34;460,82;463,24;282.575;31.675.191
2024-10-04;470,16;470,17;464,94;468,18;611.857;151.821.696
2024-10-03;471,96;472,46;468,16;469,83;166.051;22.099.343
2024-10-02;474,06;477,14;472,70;475,84;379.302;21.660.359
2024-10-01;476,96;477,86;473,96;475,02;501.824;22.901.904
2024-09-30;479,31;479,36;474,34;476,86;606.163;17.130.722
2024-09-27;479,70;483,15;479,28;479,51;445.980;30.336.026
2024-09-26;479,00;482,09;476,90;481,68;421.332;5.885.539
2024-09-25;481,00;481,00;475,72;477,01;411.644;40.502.626
2024-09-24;478,95;480,68;475,53;479,35;198.598;36.979.238
2024-09-23;474,70;479,05;472,12;477,36;464.603;17.430.455
2024-09-20;469,50;472,055;466,76;471,91;2.118.397;574.487.732
2024-09-19;472,80;473,13;468,735;469,17;776.429;30.241.448
2024-09-18;471,66;471,66;465,00;467,03;430.396;22.751.032
2024-09-17;475,52;476,64;470,51;471,66;466.336;23.297.449
2024-09-16;474,43;475,49;470,42;474,91;499.040;6.532.176
2024-09-13;465,51;471,77;465,11;468,81;440.613;241.291.921
2024-09-12;466,43;467,44;462,43;467,34;599.611;338.543.663
2024-09-11;463,72;465,81;453,64;465,11;674.011;24.271.132
2024-09-10;461,97;465,29;461,04;463,72;496.751;29.476.618
2024-09-09;460,07;465,53;460,07;463,28;308.979;31.119.580
2024-09-06;464,35;466,88;456,24;456,85;1.122.980;39.498.504
2024-09-05;470,34;470,48;463,12;465,49;332.085;24.578.517
2024-09-04;476,21;477,31;471,57;472,13;477.824;32.680.130
2024-09-03;473,94;478,48;472,99;474,05;957.818;37.405.926
2024-08-30;475,04;479,79;471,54;478,25;700.678;27.224.286
2024-08-29;473,73;476,33;470,51;472,73;355.304;17.456.149
2024-08-28;472,84;475,52;470,95;472,84;391.517;114.627.582
2024-08-27;472,71;472,71;468,96;472,34;406.312;33.589.362
2024-08-26;465,64;469,54;465,43;468,46;479.106;162.419.455
2024-08-23;464,50;466,44;461,68;465,74;469.196;19.654.431
2024-08-22;461,84;464,10;460,14;461,72;209.677;21.708.397
2024-08-21;459,95;462,13;458,47;461,75;340.388;21.511.422
2024-08-20;458,62;460,91;456,72;458,07;457.413;22.827.527
2024-08-19;457,21;458,75;456,33;458,58;411.320;42.113.603
2024-08-16;456,14;457,16;452,53;456,82;466.871;308.400.252
2024-08-15;452,05;456,71;451,57;456,14;542.136;184.380.289
2024-08-14;451,66;451,76;449,25;451,18;388.138;221.608.476
2024-08-13;448,51;450,15;445,97;449,70;678.892;257.540.484
2024-08-12;447,02;448,39;445,16;446,78;319.153;27.304.708
2024-08-09;446,98;448,06;442,55;447,02;388.104;202.711.545
2024-08-08;442,23;447,75;441,38;447,53;267.319;47.865.581
2024-08-07;449,32;450,90;441,41;441,81;280.296;47.372.744
2024-08-06;444,07;451,21;444,07;445,73;312.197;48.567.008
2024-08-05;453,99;454,96;441,34;443,53;607.830;110.663.746
2024-08-02;449,61;457,25;443,94;454,00;1.094.955;86.809.169
2024-08-01;456,07;459,27;449,91;453,34;463.065;336.029.293
2024-07-31;453,57;458,07;453,00;453,34;355.967;67.129.405
2024-07-30;452,57;456,62;450,66;450,69;424.425;91.291.813
2024-07-29;451,47;453,06;449,26;449,96;490.497;311.154.596
2024-07-26;444,12;452,74;443,60;451,39;556.697;55.014.243
2024-07-25;444,98;448,27;442,07;443,07;365.472;53.279.023
2024-07-24;448,47;449,21;442,83;443,85;363.865;65.207.067
2024-07-23;447,89;448,46;445,20;447,41;470.444;281.544.522
2024-07-22;447,88;448,71;444,54;446,10;516.263;58.545.156
2024-07-19;445,37;445,37;442,19;444,75;606.948;129.063.346
2024-07-18;445,54;451,29;445,54;446,04;578.036;183.256.896
2024-07-17;447,10;451,76;446,95;449,24;359.967;62.594.769
2024-07-16;438,06;447,78;438,06;445,73;429.265;129.049.972
2024-07-15;440,70;440,70;437,56;438,41;223.179;48.378.155
2024-07-12;437,59;444,31;436,67;440,70;602.053;54.054.860
2024-07-11;435,10;438,00;433,70;434,89;646.174;211.427.683
2024-07-10;433,11;436,01;430,32;434,95;634.057;377.362.700
2024-07-09;434,20;435,515;430,78;431,20;479.256;277.788.756
2024-07-08;436,63;437,75;434,51;435,74;682.073;383.695.732
2024-07-05;432,41;435,95;429,31;435,72;552.938;345.136.564
2024-07-03;430,13;433,65;429,58;432,94;360.027;26.040.875
2024-07-02;428,00;430,40;424,70;430,09;725.569;413.694.364
2024-07-01;438,81;440,40;425,51;428,94;906.097;42.589.466
2024-06-28;440,12;441,90;438,12;438,81;1.204.048;24.229.672
2024-06-27;440,67;441,50;437,55;440,22;514.353;11.727.888
2024-06-26;439,78;440,47;436,68;438,42;301.066;9.808.956
2024-06-25;443,98;445,00;440,39;441,17;697.692;33.166.355
2024-06-24;445,47;446,29;442,19;443,14;562.359;28.449.624
2024-06-21;443,40;443,98;440,00;442,75;2.613.726;7.627.849
2024-06-20;439,08;445,06;439,03;442,80;338.823;9.565.821
2024-06-18;439,61;440,65;435,46;440,02;537.023;297.864.665
2024-06-17;436,36;443,17;435,15;440,63;798.119;12.177.815
2024-06-14;437,43;438,16;434,28;436,95;527.994;28.967.637
2024-06-13;431,00;440,85;431,00;439,73;337.268;10.167.305
2024-06-12;437,60;440,47;433,91;434,09;355.512;11.768.533
2024-06-11;427,84;435,78;426,60;435,48;616.936;321.421.086
2024-06-10;432,73;433,91;431,40;432,00;571.975;21.253.673
2024-06-07;434,01;438,09;431,71;433,70;577.225;15.099.149
2024-06-06;436,02;436,02;432,02;433,85;584.024;32.285.376
2024-06-05;431,74;435,45;429,34;435,08;836.624;37.540.901
2024-06-04;431,31;433,78;428,66;431,14;1.001.049;305.370.781
2024-06-03;434,14;436,355;430,48;434,33;590.578;33.186.355
2024-05-31;430,11;435,99;427,62;435,52;1.614.905;9.284.866
2024-05-30;425,85;430,51;425,75;430,11;580.617;287.957.759
2024-05-29;425,58;428,33;423,98;426,18;587.397;35.358.398
2024-05-28;430,99;432,22;427,14;429,92;675.807;12.149.794
2024-05-24;433,28;437,49;433,28;435,57;469.568;238.543.014
2024-05-23;435,94;436,92;431,72;432,30;517.681;31.086.693
2024-05-22;435,19;436,50;432,37;434,79;661.797;348.184.215
2024-05-21;431,48;436,87;431,48;435,04;475.707;131.177.765
2024-05-20;432,73;432,91;431,29;432,61;584.500;182.051.032
2024-05-17;430,31;433,41;429,795;432,52;568.331;9.854.030
2024-05-16;431,73;431,99;427,92;429,69;735.359;36.335.500
2024-05-15;435,36;435,36;429,65;430,82;824.962;16.115.341
2024-05-14;434,50;435,42;430,18;432,11;688.886;9.059.103
2024-05-13;435,07;437,16;433,71;434,78;488.655;206.655.557
2024-05-10;430,50;434,80;430,47;434,39;506.293;237.866.125
2024-05-09;429,79;430,87;428,28;429,96;376.585;59.607.566
2024-05-08;430,01;430,48;426,99;427,71;564.046;245.302.358
2024-05-07;429,71;437,94;427,67;429,94;416.781;85.270.918
2024-05-06;426,98;428,14;423,45;426,62;600.542;265.892.344
2024-05-03;418,08;425,77;418,08;423,60;911.146;392.879.523
2024-05-02;424,75;424,75;413,71;419,62;1.643.043;532.097.386
2024-05-01;442,79;449,40;441,99;442,03;499.707;66.734.840
2024-04-30;443,55;444,28;440,28;440,96;982.147;87.907.817
2024-04-29;445,77;447,62;442,28;445,07;510.735;291.114.019
2024-04-26;439,46;445,57;439,46;443,18;580.057;171.963.949
2024-04-25;441,85;445,24;439,245;443,83;656.082;386.332.604
2024-04-24;437,21;444,60;433,94;444,32;745.456;206.779.030
2024-04-23;446,57;447,84;444,09;445,06;626.968;343.345.890
2024-04-22;442,26;448,91;441,88;447,06;268.420;38.217.493
2024-04-19;451,97;451,97;444,19;446,30;794.724;172.090.851
2024-04-18;450,97;451,19;445,52;446,46;239.666;42.612.194
2024-04-17;445,58;449,11;444,19;446,79;265.713;30.151.137
2024-04-16;446,74;446,86;443,00;446,32;365.634;7.430.440
2024-04-15;449,92;453,67;443,93;444,61;325.958;37.096.229
2024-04-12;450,21;451,495;444,19;447,41;714.874;29.720.770
2024-04-11;451,99;455,885;448,31;452,99;300.197;34.332.319
2024-04-10;453,00;453,62;449,59;450,28;372.920;42.136.373
2024-04-09;460,67;461,66;453,90;457,75;305.363;26.293.234
2024-04-08;462,87;463,03;459,67;461,67;711.388;10.322.353
2024-04-05;457,52;465,72;456,57;464,70;620.761;8.575.408
2024-04-04;463,32;466,94;456,00;457,26;1.079.592;9.324.204
2024-04-03;460,82;464,17;460,28;462,47;273.149;27.322.929
2024-04-02;462,37;464,02;460,92;461,23;266.416;7.253.920
2024-04-01;466,41;466,41;461,925;463,40;436.336;28.683.129
2024-03-28;463,58;465,82;462,63;464,32;778.734;43.281.330
2024-03-27;462,97;467,11;461,395;466,23;664.157;46.550.703
2024-03-26;464,94;468,34;464,94;467,68;253.891;25.516.645
2024-03-25;467,21;468,22;464,45;466,90;543.353;5.008.803
2024-03-22;464,36;469,21;462,54;468,24;734.288;43.346.099
