Activa Resources	747137	DE0007471377	Nichts
Air Berlin	AB1000	GB00B128C026	Nichts
Alphaform	548795	DE0005487953	Nichts
ARCANDOR	627500	DE0006275001	Nichts
Beate Uhse	755140	DE0007551400	Nichts
BÃ–WE SYSTEC	523970	DE0005239701	Nichts
Colonia Real Estate	633800	DE0006338007	Nichts
Constantin	914720	DE0009147207	Nichts
curasan	549453	DE0005494538	Nichts
Diebold Nixdorf	A0CAYB	DE000A0CAYB2	Nichts
Funkwerk	575314	DE0005753149	Nichts
GAGFAH	A0LBDT	LU0269583422	Nichts
GERRY WEBER	330410	DE0003304101	Nichts
GfK	587530	DE0005875306	Nichts
Gigaset	515600	DE0005156004	Nichts
Global PVQ	555866	DE0005558662	Nichts
Matica Technologies	A0JELZ	DE000A0JELZ5	Nichts
McKesson Europe (ex Celesio)	CLS100	DE000CLS1001	Nichts
msg life	513010	DE0005130108	Nichts
Phoenix Solar	A0BVU9	DE000A0BVU93	Nichts
Pongs Zahn	695400	DE0006954001	Nichts
Pulsion Medical Systems	548790	DE0005487904	Nichts
RWE vz.	703714	DE0007037145	Nichts
SinnerSchrader	514190	DE0005141907	Nichts
Solar-Fabrik	661471	DE0006614712	Nichts
SOLON	747119	DE0007471195	Nichts
TELES	745490	DE0007454902	Nichts
UMS United Medical Systems International	549365	DE0005493654	Nichts
Vivacon	604891	DE0006048911	Nichts
Diebold Nixdorf	A0CAYB	DE000A0CAYB2	Nichts
